title,price,description,image_link
Ноутбук Acer Aspire A315-58-34X1 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Silver,39630 сом,"Ноутбук Acer Aspire A315-58-34X1 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Silver        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 512GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/113152/1667383603_55712700.jpg
Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 8GB DDR 1000GB SSD Intel Iris X HD DOS серый,53800 сом,Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 8GB DDR 1000GB SSD Intel Iris X HD DOS серый        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1366x768 HD; Видеоконтроллер: Intel Irix X; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 1000 Gb; Вес: от 1.69 кг,/images/product/114944/1670576830_60200800.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+128GB SSD FHD DOS Electric Blue,"42190 сом
-0%

42010 сом","Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 1TB HDD+128GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/115968/1673509466_76517600.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blue,"33230 сом
-1%

33040 сом","Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/113153/1667385146_23636700.jpg
Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 8GB DDR 1000GB HDD + 256GB SSD Intel Iris X HD DOS серый,50690 сом,Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 8GB DDR 1000GB HDD + 256GB SSD Intel Iris X HD DOS серый        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1366x768 HD; Видеоконтроллер: Intel Irix X; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.69 кг,/images/product/114945/1670576948_36963100.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,37170 сом,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 1TB HDD+256GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/115969/1673509559_80281600.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 128GB SSD FHD DOS Electric Blue,"34690 сом
-1%

34500 сом","Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/113154/1667385214_08802400.jpg
Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 8GB DDR 1000GB HDD + 500GB SSD Intel Iris X HD DOS серый,51980 сом,Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 8GB DDR 1000GB HDD + 500GB SSD Intel Iris X HD DOS серый        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1366x768 HD; Видеоконтроллер: Intel Irix X; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 500 Gb; Вес: от 1.69 кг,/images/product/114946/1670577028_01675000.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,38620 сом,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 1TB HDD+256GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/115970/1673509633_59658800.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blue,"35980 сом
-1%

35790 сом","Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/113155/1667385281_14197400.jpg
Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 12GB DDR 1000GB SSD Intel Iris X HD DOS серый,54810 сом,Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 12GB DDR 1000GB SSD Intel Iris X HD DOS серый        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1366x768 HD; Видеоконтроллер: Intel Irix X; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 1000 Gb; Вес: от 1.69 кг,/images/product/114947/1670577141_32839000.png
Ноутбук Asus TUF Gaming A15 FA507RE AMD Ryzen 7-6800H 8GB DDR 512GB SSD Nvidia RTX3050Ti 4GB FHD W11 Mecha Gray,89200 сом,Ноутбук Asus TUF Gaming A15 FA507RE AMD Ryzen 7-6800H 8GB DDR 512GB SSD Nvidia RTX3050Ti 4GB FHD W11 Mecha Gray        Тип: ноутбук; Операционная система: Windows 11; Процессор: AMD Ryzen 7 6800H (8/16); Объем оперативной памяти: 8GB DDR4; Объем накопителя: 512 GB SSD; Разрешение экрана: 1920x1080; Вес: от 2 кг,/images/product/115203/1671178761_58444600.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,40270 сом,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 1TB HDD+256GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/115971/1673509703_18887300.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blue,"38170 сом
-0%

37980 сом","Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/113156/1667385363_05217200.jpg
Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 12GB DDR 500GB SSD Intel Iris X HD DOS серый,51510 сом,Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 12GB DDR 500GB SSD Intel Iris X HD DOS серый        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1366x768 HD; Видеоконтроллер: Intel Irix X; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 500 Gb; Вес: от 1.69 кг,/images/product/114948/1670577752_64294500.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,43110 сом,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 1TB HDD+256GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/115972/1673509774_07860600.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blue,"34140 сом
-1%

33950 сом","Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/113157/1667385655_07413500.jpg
Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 12GB DDR 256GB SSD Intel Iris X HD DOS серый,49960 сом,Ноутбук Dell Vostro 3510 Intel Core i5-1135G7 12GB DDR 256GB SSD Intel Iris X HD DOS серый        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1366x768 HD; Видеоконтроллер: Intel Irix X; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.69 кг,/images/product/114949/1670577837_57838200.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue,39080 сом,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 1TB HDD+512GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/115973/1673509892_06228000.jpg
Ноутбук HP 250 G8 Intel Core i3-1115G4 16GB DDR4 256GB SSD FHD DOS Gray,37340 сом,"Ноутбук HP 250 G8 Intel Core i3-1115G4 16GB DDR4 256GB SSD FHD DOS Gray        экран 15.6"" IPS 1920х1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 16 GB DDR4; накопитель 256 GB SSD; видеоадаптер Intel Graphics; DOS",/images/product/111878/1665047004_31737300.jpg
