title,price,description,in_stock,image_link
Смартфон Samsung Galaxy S22 8/128GB Black,72 790 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 10 Mpx + 12 Mpx  / Фронтальная камера: 10 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3397_2_1.jpg
Смартфон Samsung Galaxy S22 8/128GB Green,72 790 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 10 Mpx + 12 Mpx  / Фронтальная камера: 10 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3396_2_1.jpg
Смартфон Samsung Galaxy S22 8/256GB Black,78 190 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 256 GB  / Основная камера: 50 Mpx + 10 Mpx + 12 Mpx  / Фронтальная камера: 10 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3401_2_1.jpg
Смартфон Samsung Galaxy S22 Ultra 8/128GB Black,99 990 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,8″ - 17,27 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 10 Mpx + 10 Mpx + 12 Mpx  / Фронтальная камера: 40 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3413_0_1.jpg
Смартфон Samsung Galaxy S22+ 8/256GB Black,87 290 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,6″ - 16,76 см  / Объем встроенной памяти: 256 GB  / Основная камера: 50 Mpx + 10 Mpx + 12 Mpx  / Фронтальная камера: 10 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3409_0_1.jpg
Смартфон Samsung Galaxy A53 6/128GB Black,36 390 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 12 Mpx + 5 Mpx+ 5 Mpx  / Фронтальная камера: 32 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3516_0_6.png
Смартфон Samsung Galaxy A53 8/256GB Black,41 790 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 256 GB  / Основная камера: 64 Mpx + 12 Mpx + 5 Mpx+ 5 Mpx  / Фронтальная камера: 32 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3520_0_6.png
Смартфон Apple iPhone 7 32GB Black,27 290 сом,"Операционная система: iOS 10  / Количество SIM-карт: 1  / Диагональ дисплея: 4,7″ - 11,93 см  / Объем встроенной памяти: 32 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_1084_0_1.jpg
Смартфон Apple iPhone 11 64GB Black Slim Box,50 990 сом,"Операционная система: iOS 13  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2686_4_1.jpg
Смартфон Apple iPhone 11 128GB Black Slim Box,58 190 сом,"Операционная система: iOS 13  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2729_5_1.jpg
Смартфон Apple iPhone SE 64GB 2020 Black,56 390 сом,"Операционная система: iOS 13  / Количество SIM-карт: 1  / Диагональ дисплея: 4,7″ - 11,93 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2386_4.png
Смартфон Xiaomi Redmi 9A 2/32GB Sky Blue,9 090 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 32 GB  / Основная камера: 13 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2504_0_1.jpg
Смартфон Apple iPhone 12 mini 64GB Blue,68 190 сом,"Операционная система: iOS 14  / Количество SIM-карт: 1  / Диагональ дисплея: 5,4″ - 13,71 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2609_0_1.jpg
Смартфон Xiaomi Redmi 9A 2/32GB Granite Gray,9 090 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 32 GB  / Основная камера: 13 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2503_1_6.png
Смартфон Apple iPhone 11 128GB White Slim Box,58 190 сом,"Операционная система: iOS 13  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2732_3_1.jpg
Смартфон Apple iPhone 7 32GB Gold,27 290 сом,"Операционная система: iOS 10  / Количество SIM-карт: 1  / Диагональ дисплея: 4,7″ - 11,93 см  / Объем встроенной памяти: 32 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_1087_0_6.png
